,resource/depth_ratio,resource/depth,resource/width_ratio,Win_Rate/Evaluate,_step,loss,resource/width,planning_depth/game_iter_1,planning_depth/game_iter_100,planning_depth/game_iter_50,resource/depth_resource_usage,resource/total_planning_depth,resource/total_resource_usage,planning_depth/game_iter_20,_runtime,planning_depth/game_iter_10,resource/width_resource_usage,entropy,_timestamp,Win_Rate/self_play,planning_depth/game_iter_31
228,,,,,364335,,,,,,,,,,5980.492170934,,,,1736078527.779994,,3.0
229,,,,,372849,,,,,,,,,,5998.67065091,,,,1736078545.9584572,,3.0
230,,,,,372850,,,,,,,,,,5998.673117036,,,,1736078545.9608955,,3.0
231,,,,,373157,,,,,,,,,,5999.299319222,,,,1736078546.5871248,,2.0
232,,,,,375133,,,,,,,,,,6003.46188204,,,,1736078550.7496893,,2.0
233,,,,,377605,,,,,,,,,,6008.694507755,,,,1736078555.9823184,,2.0
234,,,,,379388,,,,,,,,,,6012.503696872,,,,1736078559.791509,,2.0
235,0.03933910306845004,27.0,0.96066089693155,,379479,,648.0,,,,1350.0,50.0,34317.0,,6012.691943023,,32967.0,,1736078559.9797409,,
236,,,,,380688,,,,,,,,,,6015.121124836,,,,1736078562.4089322,,3.0
237,,,,,381703,,,,,,,,,,6017.266325419,,,,1736078564.5541294,,2.0
238,,,,,384175,,,,,,,,,,6022.235852785,,,,1736078569.5236626,,2.0
239,,,,,385878,,,,,,,,,,6025.884496676,,,,1736078573.1723127,,2.0
240,,,,,385951,,,,,,,,,,6026.026140369,,,,1736078573.3139553,,2.0
241,,,,,386980,,,,,,,,,,6028.115634208,,,,1736078575.4034421,,2.0
242,,,,,389714,,,,,,,,,,6034.005904076,,,,1736078581.2937148,,2.0
243,,,,,390471,,,,,,,,,,6035.652978135,,,,1736078582.9407892,,2.0
244,,,,,391988,,,,,,,,,,6038.860217127,,,,1736078586.1480284,,2.0
245,,,,,393844,,,,,,,,,,6042.958164054,,,,1736078590.2459733,,2.0
246,,,,,394429,,,,,,,,,,6044.144266409,,,,1736078591.432073,,2.0
247,,,,,395406,,,,,,,,,,6046.400744469,,,,1736078593.49756,,2.0
248,,,,,396426,,,,,,,,,,6048.314716157,,,,1736078595.6025329,,2.0
249,,,,,399562,,,,,,,,,,6054.746098802,,,,1736078602.0339043,,2.0
250,,,,,399608,,,,,,,,,,6054.841597817,,,,1736078602.1294127,,2.0
251,,,,,399797,,,,,,,,,,6055.229558032,,,,1736078602.517368,,2.0
252,,,,,400160,,,,,,,,,,6055.981851528,,,,1736078603.269659,,3.0
253,,,,,402521,,,,,,,,,,6061.012540298,,,,1736078608.3003554,,2.0
254,,,,,407222,,,,,,,,,,6070.934789565,,,,1736078618.2225893,,2.0
255,,,,,408461,,,,,,,,,,6073.464001261,,,,1736078620.751808,,2.0
256,,,,,411595,,,,,,,,,,6080.015387217,,,,1736078627.3031974,,2.0
257,,,,,412917,,,,,,,,,,6082.867984675,,,,1736078630.1557963,,1.0
258,,,,,413394,,,,,,,,,,6083.962530148,,,,1736078631.2503436,,2.0
259,,,,,413977,,,,,,,,,,6085.168490483,,,,1736078632.4562812,,2.0
260,,,,,414304,,,,,,,,,,6085.834170778,,,,1736078633.1219766,,2.0
261,,,,,416913,,,,,,,,,,6091.497617151,,,,1736078638.7551472,,4.0
262,,,,,418050,,,,,,,,,,6093.84643735,,,,1736078641.1342406,,3.0
263,,,,,421937,,,,,,,,,,6101.890654932,,,,1736078649.1784663,,3.0
264,,,,,428728,,,,,,,,,,6115.884455266,,,,1736078663.1722171,,3.0
265,,,,,429419,,,,,,,,,,6117.296358224,,,,1736078664.584168,,2.0
266,,,,,431821,,,,,,,,41310.0,,6198.416730805,,,,1736078745.704496,,
267,,,,,433159,,,,,,,,41310.0,,6266.377566364,,,,1736078813.66536,,
268,,,,,434449,,,,,,,,44145.0,,6332.742133515,,,,1736078880.0299125,,
269,,,,,434986,,,,,,,,37179.0,,6361.152303623,,,,1736078908.440122,,
270,0.03382949932341001,27.0,0.9661705006765899,,436457,,756.0,,,,1350.0,50.0,39906.0,,6437.973535952,,38556.0,,1736078985.2612293,,
271,,,,,437396,,,,,,,,48276.0,,6486.844954067,,,,1736079034.1327598,,
272,,,,,438644,,,,,,,,30402.0,,6552.59725695,,,,1736079099.8850677,,
273,0.032701111837802485,27.0,0.9672988881621976,,440796,,783.0,,,,1350.0,50.0,41283.0,,6665.961252348,,39933.0,,1736079213.2489593,,
